"Region","n","MDR","XDR","cipIR","cipR","cefR","aziR","MDR_lower","MDR_upper","XDR_lower","XDR_upper","cipIR_lower","cipIR_upper","cipR_lower","cipR_upper","cefR_lower","cefR_upper","aziR_lower","aziR_upper"
"Australia and New Zealand",57,2,0,19,0,0,0,0,5,0,0,9,30,0,0,0,0,0,0
"Caribbean",20,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"Central America",100,2,1,38,2,1,0,0,5,0,3,28,48,0,5,0,3,0,0
"Eastern Africa",830,83,0,21,0,0,0,80,85,0,0,18,24,0,0,0,0,0,0
"Eastern Asia",3,0,0,67,33,0,0,0,0,0,0,13,100,0,87,0,0,0,0
"Eastern Europe",1,0,0,100,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
"Melanesia",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middle Africa",21,5,0,38,0,0,0,0,14,0,0,17,59,0,0,0,0,0,0
"Northern Africa",6,0,0,50,0,0,0,0,0,0,0,10,90,0,0,0,0,0,0
"Northern America",140,6,1,34,4,1,0,2,10,0,2,26,41,1,8,0,2,0,0
"Northern Europe",105,21,0,68,7,1,0,13,29,0,0,59,77,2,11,0,3,0,0
"Polynesia",262,0,0,5,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0
"South America",105,0,0,12,5,0,0,0,0,0,0,6,19,1,9,0,0,0,0
"South-eastern Asia",584,29,0,52,3,0,0,25,33,0,0,48,56,2,5,0,1,0,1
"Southern Africa",286,61,0,20,3,0,0,56,67,0,0,16,25,1,6,0,0,0,0
"Southern Asia",6623,23,8,96,20,9,1,22,24,8,9,96,97,19,21,8,9,1,1
"Southern Europe",6,0,0,50,17,0,0,0,0,0,0,10,90,0,46,0,0,0,0
"Western Africa",267,39,0,12,0,0,0,33,44,0,0,8,16,0,0,0,0,0,0
"Western Asia",21,29,0,76,10,10,0,9,48,0,0,58,94,0,22,0,22,0,0
"Western Europe",3,0,0,33,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0
