Region,latitude,longitude
Northern Africa,33.8869,9.5375
Eastern Africa,5.1521,46.1996
Middle Africa,6.6111,20.9394
Western Africa,14.4974,-14.4974
Southern Africa,-22.3285,24.6849
Central America,12.769,-85.6024
South America,-8.7832,-55.4915
Northern America,47,-105.2551
South-eastern Asia,7,110
Southern Asia,20.5937,78.9629
Northern Europe,56.8796,24.6032
Melanesia,-18.166667,178.45
Australia and New Zealand,-35.293056,149.126944
Polynesia,-13.833333,-171.75
Western Asia,33.333333,44.383333
