"Region","Country_Origin","Total genomes","Travel (%)","Representative cases from 2010","Travel (%) amongst representative cases from 2010"
"Australia and New Zealand","Australia",12,"0 (0%)",12,"0 (0%)"
"Australia and New Zealand","New Zealand",45,"0 (0%)",45,"0 (0%)"
"Caribbean","Dominican Republic",6,"6 (100%)",6,"6 (100%)"
"Caribbean","Haiti",12,"12 (100%)",12,"12 (100%)"
"Caribbean","Jamaica",1,"1 (100%)",1,"1 (100%)"
"Caribbean","Turks and Caicos Islands",1,"1 (100%)",1,"1 (100%)"
"Central America","El Salvador",19,"19 (100%)",19,"19 (100%)"
"Central America","Guatemala",22,"22 (100%)",22,"22 (100%)"
"Central America","Mexico",61,"60 (98.4%)",58,"58 (100%)"
"Central America","Panama",1,"1 (100%)",1,"1 (100%)"
"Eastern Africa","Burundi",2,"2 (100%)",2,"2 (100%)"
"Eastern Africa","Comoros",3,"3 (100%)",0,"0 (NaN%)"
"Eastern Africa","Ethiopia",4,"2 (50%)",3,"1 (33.3%)"
"Eastern Africa","Kenya",254,"7 (2.8%)",149,"6 (4%)"
"Eastern Africa","Madagascar",12,"3 (25%)",8,"0 (0%)"
"Eastern Africa","Malawi",569,"0 (0%)",558,"0 (0%)"
"Eastern Africa","Mayotte",3,"0 (0%)",3,"0 (0%)"
"Eastern Africa","Mozambique",1,"1 (100%)",1,"1 (100%)"
"Eastern Africa","Rwanda",52,"1 (1.9%)",27,"1 (3.7%)"
"Eastern Africa","Tanzania",35,"9 (25.7%)",18,"7 (38.9%)"
"Eastern Africa","Uganda",37,"7 (18.9%)",36,"6 (16.7%)"
"Eastern Africa","Zambia",24,"2 (8.3%)",0,"0 (NaN%)"
"Eastern Africa","Zimbabwe",110,"25 (22.7%)",25,"25 (100%)"
"Eastern Asia","China",5,"5 (100%)",3,"3 (100%)"
"Eastern Asia","Japan",4,"1 (25%)",0,"0 (NaN%)"
"Eastern Asia","Mongolia",1,"1 (100%)",0,"0 (NaN%)"
"Eastern Asia","South Korea",2,"2 (100%)",0,"0 (NaN%)"
"Eastern Europe","Bulgaria",1,"1 (100%)",1,"1 (100%)"
"Eastern Europe","Russia",2,"1 (50%)",0,"0 (NaN%)"
"Melanesia","Fiji",144,"102 (70.8%)",32,"25 (78.1%)"
"Melanesia","Papua New Guinea",86,"45 (52.3%)",5,"5 (100%)"
"Melanesia","Vanuatu",2,"2 (100%)",0,"0 (NaN%)"
"Micronesia","Marshall Islands",4,"1 (25%)",1,"1 (100%)"
"Middle Africa","Angola",5,"5 (100%)",2,"2 (100%)"
"Middle Africa","Cameroon",27,"10 (37%)",0,"0 (NaN%)"
"Middle Africa","Central African Republic",3,"1 (33.3%)",0,"0 (NaN%)"
"Middle Africa","Chad",2,"2 (100%)",2,"2 (100%)"
"Middle Africa","Democratic Republic of Congo",1,"0 (0%)",0,"0 (NaN%)"
"Middle Africa","Democratic Republic of the Congo",20,"4 (20%)",17,"2 (11.8%)"
"Middle Africa","Gabon",1,"1 (100%)",0,"0 (NaN%)"
"Northern Africa","Algeria",8,"8 (100%)",0,"0 (NaN%)"
"Northern Africa","Egypt",7,"7 (100%)",1,"1 (100%)"
"Northern Africa","Morocco",13,"12 (92.3%)",2,"2 (100%)"
"Northern Africa","Sudan",9,"9 (100%)",2,"2 (100%)"
"Northern Africa","Tunisia",4,"3 (75%)",1,"1 (100%)"
"Northern America","USA",167,"2 (1.2%)",140,"2 (1.4%)"
"Northern Europe","Ireland",1,"1 (100%)",0,"0 (NaN%)"
"Northern Europe","United Kingdom",108,"0 (0%)",105,"0 (0%)"
"Polynesia","Samoa",319,"87 (27.3%)",259,"42 (16.2%)"
