"source","Total","Representative surveillance 2010-2020","Travel Associated"
"10.1101/2022.09.01.506167",57,0,0
"10.1101/2022.10.03.510628",463,0,0
"11677608",1,0,0
"12644504",1,0,0
"18660809",4,0,0
"25392358",22,0,0
"25428145",2,0,0
"25961941",1736,733,248
"26411565",30,0,0
"26974227",77,77,0
"27069781",489,432,356
"27331909",1,1,0
"27657909",128,111,0
"27703135",99,43,43
"28060810",44,0,0
"28280021",3,0,0
"28705963",2,0,0
"28931025",64,59,0
"29051234",1,0,0
"29136410",1,0,0
"29216342",3,3,2
"29255729",107,0,0
"29463654",100,0,0
"29616895",1,0,0
"29684021",192,169,0
"30236166",30,0,0
"30425150",536,0,0
"30504848",249,209,0
"31225619",39,39,0
"31513580",102,95,87
"31665304",94,94,0
"31730615",12,0,0
"31872221",2,0,0
"32003431",194,0,0
"32106221",202,147,0
"32119918",1,0,0
"32217683",5,0,0
"32253142",1,0,0
"32732230",1,0,0
"32883020",27,27,0
"33079054",7,7,0
"33085725",116,0,0
"33347558",28,0,0
"33496224",15,15,12
"33515460",63,63,0
"33593966",80,80,0
"33651791",8,0,0
"33704480",57,57,57
"33965548",2,0,0
"34223059",4,0,0
"34370659",626,599,579
"34463736",261,261,0
"34515028",132,84,0
"34529660",76,0,0
"34543095",116,116,107
"34626469",92,92,0
"34812716",13,11,0
"35344544",41,0,0
"35750070",3399,3387,0
"35767580",203,90,0
"35999186",190,190,0
"36026470",22,14,0
"36094088",200,172,1
"ESR",99,97,52
"IPA",23,23,17
"MLW",20,20,0
"NCD",281,281,13
"RBC",51,26,0
"STRATAA",730,706,0
"USCDC",887,848,710
"Total",12965,9478,2284
