PW_NAME,TGC_sangerlane
493427,SRR7165490
508247,SRR7415026
683162,SRR8648328
773645,SRR9719557
789981,SRR9989244
854130,SRR10693203
861122,SRR10769068
201702806,Ty201702806_S100
201904831,Ty201904831_S68
201906654,Salm201906654_S101
201909494,Salm201909494_S121
202000133,Salm202000133_S7
202000702,Salm202000702_S3
10349_1#60,10349_1#60
10425_1#68,10425_1#68
10426_1#43,10426_1#43
10492_1#77,10492_1#77
10541_1#73,10541_1#73
10541_1#75,10541_1#75
10592_2#50,10592_2#50
10592_2#59,10592_2#59
10592_2#69,10592_2#69
10593_2#11,10593_2#11
10593_2#13,10593_2#13
10593_2#2,10593_2#2
10593_2#40,10593_2#40
10593_2#59,10593_2#59
10593_2#79,10593_2#79
13566_1#52,13566_1#52
16399_3#10,16399_3#10
16404_4#1,16404_4#1
16404_4#38,16404_4#38
16404_4#42,16404_4#42
16404_4#44,16404_4#44
16404_4#61,16404_4#61
16404_4#8,16404_4#8
16404_4#9,16404_4#9
16404_5#78,16404_5#78
16404_6#53,16404_6#53
16404_6#72,16404_6#72
16549_7#21,16549_7#21
16549_7#26,16549_7#26
16549_7#42,16549_7#42
16549_7#6,16549_7#6
16549_7#79,16549_7#79
16549_7#8,16549_7#8
16549_7#80,16549_7#80
17225_2_28,17225_2#28
17225_2_33,17225_2#33
17225_2_46,17225_2#46
17225_2_51,17225_2#51
17225_2_66,17225_2#66
17225_2_70,17225_2#70
17225_4_20,17225_4#20
17225_4_23,17225_4#23
17225_4_43,17225_4#43
17225_4_51,17225_4#51
17225_4_55,17225_4#55
17225_4_57,17225_4#57
17225_4#35,17225_4#35
17225_4#39,17225_4#39
17225_4#42,17225_4#42
17225_4#47,17225_4#47
17225_4#49,17225_4#49
17225_4#54,17225_4#54
17225_4#58,17225_4#58
17225_4#59,17225_4#59
17225_4#61,17225_4#61
17225_4#65,17225_4#65
17225_4#66,17225_4#66
2016AM-0194,SRR10771062
2016AM-0246,SRR10770892
2016AM-0260,SRR10770905
2016AM-0467,SRR10798681
2016AM-0564,SRR10814046
2016AM-1002,SRR10728945
2016AM-1092,SRR10843950
2016AM-1330,SRR10846860
2016AM-1968,SRR10843947
2016AM-1969,SRR10843951
2016AM-2153,SRR10680874
2017AM-2364,SRR13246403
2017AM-2390,SRR13246123
2017AM-3462,SRR13246484
AUSMDU00021619,AUSMDU00021619
AUSMDU00030416,SRR14864558
DRR070999,DRR070999
ERR2710591,23099_8#98
ERR4244339,29791_4#179
P0065390,20995_6#136
P0499020,20995_7#1
P0521350,20995_7#24
P0705520,20995_7#43
P2094650,20995_7#77
P3594750,20995_7#92
PNUnitedStatesofAmericaS004929,SRR4896376
PNUnitedStatesofAmericaS011632,SRR5584719
PNUnitedStatesofAmericaS012839,SRR5645426
PNUnitedStatesofAmericaS012919,SRR5640364
PNUnitedStatesofAmericaS013090,SRR5578717
PNUnitedStatesofAmericaS025608,SRR6217870
PNUnitedStatesofAmericaS025807,SRR6254999
PNUnitedStatesofAmericaS026164,SRR6203462
PNUnitedStatesofAmericaS028726,SRR6317360
PNUnitedStatesofAmericaS030739,SRR6446714
PNUnitedStatesofAmericaS032766,SRR6650930
PNUnitedStatesofAmericaS036200,SRR6902887
PNUnitedStatesofAmericaS036335,SRR6940508
PNUnitedStatesofAmericaS037607,SRR6916446
PNUnitedStatesofAmericaS039791,SRR7182362
PNUnitedStatesofAmericaS041881,SRR7363625
PNUnitedStatesofAmericaS048707,SRR7691776
PNUnitedStatesofAmericaS052537,SRR7803574
PNUnitedStatesofAmericaS054108,SRR8076040
PNUnitedStatesofAmericaS054815,SRR8582803
PNUnitedStatesofAmericaS055896,SRR7965109
PNUnitedStatesofAmericaS058207,SRR8076019
PNUnitedStatesofAmericaS067660,SRR8599069
PNUnitedStatesofAmericaS069147,SRR8731149
PNUnitedStatesofAmericaS069455,SRR8734048
PNUnitedStatesofAmericaS070510,SRR8786869
PNUnitedStatesofAmericaS071188,SRR10010211
PNUnitedStatesofAmericaS071441,SRR8902359
PNUnitedStatesofAmericaS071685,SRR8888352
PNUnitedStatesofAmericaS073741,SRR9030337
PNUnitedStatesofAmericaS073860,SRR9047138
PNUnitedStatesofAmericaS074450,SRR9021782
PNUnitedStatesofAmericaS074915,SRR9040358
PNUnitedStatesofAmericaS075522,SRR9093123
PNUnitedStatesofAmericaS077511,SRR9201514
PNUnitedStatesofAmericaS077889,SRR9268762
PNUnitedStatesofAmericaS079017,SRR9325674
PNUnitedStatesofAmericaS079763,SRR9326657
PNUnitedStatesofAmericaS079819,SRR9696785
PNUnitedStatesofAmericaS080164,SRR9599872
PNUnitedStatesofAmericaS080478,SRR9903643
PNUnitedStatesofAmericaS082093,SRR9660244
PNUnitedStatesofAmericaS083041,SRR9697077
